Place,Competitor,DOB,Nat,Score,Event List,Age,Thrower Class,Gender
469,Claudia LEGGE,20 SEP 2004,AUS,765,Javelin Throw,18.0,5th Class,Female
472,Veera MATINTALO,23 SEP 2000,FIN,764,Javelin Throw,22.0,5th Class,Female
473,Jennifer VOGT,27 MAR 1985,GER,763,Javelin Throw,38.0,5th Class,Female
475,Tihiro ASADA,01 DEC 2005,JPN,762,Javelin Throw,17.0,5th Class,Female
476,Tina VAUPOT,14 JAN 1997,SLO,762,Javelin Throw,26.0,5th Class,Female
477,Kano SHIRAISHI,22 MAR 2003,JPN,762,Javelin Throw,20.0,5th Class,Female
479,Myke VAN DE WIEL,04 JUN 1997,NED,761,Javelin Throw,25.0,5th Class,Female
480,Kayla IVEN,20 FEB 2002,BEL,760,Javelin Throw,21.0,5th Class,Female
481,Eloise MEAKINS,26 JAN 1993,GBR,760,Javelin Throw,30.0,5th Class,Female
482,Olivia MORGAN,22 JUN 2000,USA,759,Javelin Throw,22.0,5th Class,Female
483,Eun-hwan YOON,18 AUG 2006,KOR,759,Javelin Throw,16.0,5th Class,Female
484,Nina REINCKE,24 FEB 2004,GER,758,Javelin Throw,19.0,5th Class,Female
487,Delia FRAVEZZI,06 SEP 1998,ITA,758,Javelin Throw,24.0,5th Class,Female
488,Eva REMEŠOVÁ,17 MAR 2004,CZE,758,Javelin Throw,19.0,5th Class,Female
490,Lorena Emanuelle GARCIA,26 FEB 2003,BRA,757,Javelin Throw,20.0,5th Class,Female
491,Furi KATSUMI,04 APR 2005,JPN,756,Javelin Throw,18.0,5th Class,Female
492,Ludovica GIANNURSINI,05 FEB 2002,ITA,756,Javelin Throw,21.0,5th Class,Female
493,Agathe FERRARI,05 FEB 2002,FRA,756,Javelin Throw,21.0,5th Class,Female
494,Wakana YAMASHITA,30 JAN 2003,JPN,755,Javelin Throw,20.0,5th Class,Female
496,Yu-bin CHOI,06 NOV 2005,KOR,755,Javelin Throw,17.0,5th Class,Female
497,Saga KURUNMÄKI,05 JAN 2003,FIN,755,Javelin Throw,20.0,5th Class,Female
498,Yasmin WILKE,05 JAN 2003,GER,754,Javelin Throw,20.0,5th Class,Female
499,Júlia HANULIAKOVÁ,16 MAY 2000,SVK,754,Javelin Throw,22.0,5th Class,Female
500,Wiebke OELGARDT,29 JUL 2001,GER,754,Javelin Throw,21.0,5th Class,Female
